City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Saskylakh,RU,2022-04-06 23:02:06,71.9167,114.0833,-16.65,99,72,5.95
68,Hay River,CA,2022-04-06 23:02:07,60.8156,-115.7999,35.4,97,100,3.2
69,Los Llanos De Aridane,ES,2022-04-06 23:02:07,28.6585,-17.9182,60.55,79,100,16.11
70,College,US,2022-04-06 23:02:08,64.8569,-147.8028,41.79,41,78,3.04
71,Kavaratti,IN,2022-04-06 23:02:08,10.5669,72.642,82.49,75,76,7.52
72,Kruisfontein,ZA,2022-04-06 23:02:08,-34.0033,24.7314,55.89,69,65,19.75
73,Yellowknife,CA,2022-04-06 23:01:26,62.456,-114.3525,32.56,88,100,5.99
74,Dunedin,NZ,2022-04-06 23:02:09,-45.8742,170.5036,53.8,55,89,8.01
75,Broken Hill,AU,2022-04-06 23:02:09,-31.95,141.4333,62.78,59,2,14.61
76,Dikson,RU,2022-04-06 23:02:09,73.5069,80.5464,-1.53,98,99,15.23
77,Sioux Lookout,CA,2022-04-06 23:01:19,50.1001,-91.917,33.35,98,100,13.91
78,Vestmanna,FO,2022-04-06 23:02:10,62.1564,-7.1664,34.72,80,75,23.02
79,Saint Anthony,US,2022-04-06 23:02:10,45.0205,-93.218,39.97,88,100,19.57
80,Tilichiki,RU,2022-04-06 23:02:10,60.4667,166.1,8.69,68,0,7.2
81,Kristiansund,NO,2022-04-06 23:02:11,63.1115,7.732,30.85,69,1,4.61
82,Killybegs,IE,2022-04-06 23:02:11,54.6333,-8.45,44.24,77,70,30.44
83,Taltal,CL,2022-04-06 23:01:01,-25.4,-70.4833,70.65,61,23,6.02
84,Bluff,NZ,2022-04-06 23:02:12,-46.6,168.3333,51.94,56,65,7.23
85,Ribeira Grande,PT,2022-04-06 23:02:12,38.5167,-28.7,61.83,89,100,25.14
86,Hamilton,US,2022-04-06 23:01:10,39.1834,-84.5333,56.05,90,75,8.05
87,Hasaki,JP,2022-04-06 23:02:12,35.7333,140.8333,55.8,76,99,22.53
88,Buala,SB,2022-04-06 23:02:13,-8.145,159.5921,82.2,78,100,11.12
89,Nantucket,US,2022-04-06 22:57:34,41.2835,-70.0995,48.25,92,100,25.9
90,Cap Malheureux,MU,2022-04-06 23:02:13,-19.9842,57.6142,74.46,86,62,1.01
91,Rio Bananal,BR,2022-04-06 23:03:13,-19.265,-40.3333,73.78,94,99,4.0
92,Nanortalik,GL,2022-04-06 23:03:14,60.1432,-45.2371,30.2,94,68,4.09
93,Puerto Madero,MX,2022-04-06 23:03:14,14.7208,-92.4215,88.0,62,20,8.05
94,Skelleftea,SE,2022-04-06 23:03:14,64.7507,20.9528,28.0,68,100,5.75
95,Nikolskoye,RU,2022-04-06 23:03:15,59.7035,30.7861,30.87,93,73,5.79
96,Conde,BR,2022-04-06 23:03:15,-7.2597,-34.9075,76.68,83,56,7.74
97,Broome,US,2022-04-06 23:03:15,42.2506,-75.833,54.19,81,100,12.66
98,Emerald,AU,2022-04-06 23:03:16,-23.5333,148.1667,74.34,65,87,7.54
99,Vardo,NO,2022-04-06 23:03:10,70.3705,31.1107,32.52,82,100,21.99
100,Tiksi,RU,2022-04-06 23:03:16,71.6872,128.8694,-13.27,100,100,3.65
101,Magnolia,US,2022-04-06 23:03:16,33.2671,-93.2393,65.73,43,32,10.54
102,Mahebourg,MU,2022-04-06 23:03:17,-20.4081,57.7,74.25,74,84,13.31
