City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Albany,US,42.6001,-73.9662,45.91,59,93,4.0,overcast clouds
79,Fairbanks,US,64.8378,-147.7164,15.22,59,100,1.01,overcast clouds
80,Cape Town,ZA,-33.9258,18.4232,74.1,68,0,11.01,clear sky
81,Manggar,ID,-2.8833,108.2667,78.73,84,98,2.89,overcast clouds
82,Port Alfred,ZA,-33.5906,26.891,63.18,94,100,7.0,overcast clouds
83,Necochea,AR,-38.5473,-58.7368,72.55,64,100,5.82,overcast clouds
84,Kayerkan,RU,69.3497,87.7602,-9.63,99,88,4.99,overcast clouds
85,Codrington,AU,-38.2667,141.9667,58.48,62,100,10.69,overcast clouds
86,Ostrovnoy,RU,68.0531,39.5131,34.56,98,100,15.73,light snow
87,Mount Vernon,US,40.9126,-73.8371,50.0,50,75,21.85,broken clouds
88,Narsaq,GL,60.9167,-46.05,39.42,43,100,1.86,overcast clouds
89,Pudozh,RU,61.8099,36.5345,35.11,86,9,9.48,clear sky
90,Visnes,NO,59.3556,5.2242,41.83,70,40,18.41,scattered clouds
91,Ithaca,US,42.4406,-76.4966,41.97,75,100,14.97,overcast clouds
92,Almaznyy,RU,48.0448,40.045,59.2,57,94,11.07,overcast clouds
93,Longhua,CN,23.6137,114.1919,68.7,62,0,0.96,clear sky
94,Baykit,RU,61.67,96.37,22.26,97,96,3.83,light snow
95,Lavrentiya,RU,65.5833,-171.0,19.62,98,93,5.01,overcast clouds
96,Kavieng,PG,-2.5744,150.7967,81.64,78,100,10.45,overcast clouds
97,Bambous Virieux,MU,-20.3428,57.7575,77.25,83,75,10.36,light rain
98,Rio Grande,BR,-32.035,-52.0986,82.51,77,33,18.28,scattered clouds
99,Kulhudhuffushi,MV,6.6221,73.07,85.21,70,70,12.53,broken clouds
100,Hamilton,US,39.1834,-84.5333,59.25,44,0,11.5,clear sky
101,Honningsvag,NO,70.9821,25.9704,37.15,75,0,19.57,clear sky
102,Atuona,PF,-9.8,-139.0333,78.85,77,16,18.28,few clouds
103,Mongo,TD,12.1844,18.693,92.08,31,100,14.52,overcast clouds
104,Rikitea,PF,-23.1203,-134.9692,78.87,74,3,17.29,light rain
105,Tarime,TZ,-1.35,34.3667,69.12,69,93,4.74,overcast clouds
106,Sinnamary,GF,5.3833,-52.95,82.18,75,84,13.2,broken clouds
